Authors,DOI,ISBN,ISSN,Journal,PMCID,PMID,Publication Category,Publication Year,Short Citation,Title
Fujii H; Cuvelier G; She K; Aslanian S; Shimizu H; Kariminia A; Krailo M; Chen Z; McMaster R; Bergman A; Goldman F; Grupp SA; Wall DA; Gilman AL; Schultz KR;,10.1182/blood-2007-08-106286,,0006-4971,Blood,PMC2265463,17925486,Journal Article,2008.0,Blood. 2008 Mar 15;111(6):3276-85. Epub 2007 Oct 9.,Biomarkers in newly diagnosed pediatric-extensive chronic graft-versus-host disease: a report from the Children's Oncology Group.
Cohen Freue GV; Hollander Z; Shen E; Zamar RH; Balshaw R; Scherer A; McManus B; Keown P; McMaster WR; Ng RT;,,,,Bioinformatics,,17933854,Journal Article,2007.0,Bioinformatics. 2007 Dec 1;23(23):3162-9. Epub 2007 Oct 12.,MDQC: a new quality assessment method for microarrays based on quality control reports.
"Argiropoulos B, Humphries RK.",,,,Oncogene,,17934484,Journal Article,2007.0,Oncogene. 2007 Oct 15;26(47):6766-76.,Hox genes in hematopoiesis and leukemogenesis.
Spinelli JJ; Lai AS; Krajden M; Andonov A; Gascoyne RD; Connors JM; Brooks-Wilson AR; Gallagher RP;,,,,International Journal of Cancer,,17935132,Journal Article,2008.0,Int J Cancer. 2008 Feb 1;122(3):630-3.,"Hepatitis C virus and risk of non-Hodgkin lymphoma in British Columbia, Canada."
Hancock RE;,10.1038/msb4100184,,,Molecular Systems Biology,PMC2063584,17940532,Journal Article,2007.0,Mol Syst Biol. 2007;3:142. Epub 2007 Oct 16.,The complexities of antibiotic action.
Bhavsar AP; Guttman JA; Finlay BB;,,,,Nature,,17943119,Journal Article,2007.0,Nature. 2007 Oct 18;449(7164):827-34.,Manipulation of host-cell pathways by bacterial pathogens.
Krzywinski M; Bosdet I; Mathewson C; Wye N; Brebner J; Chiu R; Corbett R; Field M; Lee D; Pugh T; Volik S; Siddiqui A; Jones S; Schein J; Collins C; Marra M;,10.1186/gb-2007-8-10-r224,,1474-7596,Genome Biology,PMC2246298,17953769,Journal Article,2007.0,Genome Biol. 2007;8(10):R224.,A BAC clone fingerprinting approach to the detection of human genome rearrangements.
Patrauchan MA; Florizone C; Eapen S; Gomez-Gil L; Sethuraman B; Fukuda M; Davies J; Mohn WW; Eltis LD,10.1128/JB.01122-07,,0021-9193,,PMC2223760,17965160,Journal Article,2008.0,J Bacteriol. 2008 Jan;190(1):37-47. Epub 2007 Oct 26.,Roles of ring-hydroxylating dioxygenases in styrene and benzene catabolism in Rhodococcus jostii RHA1.
Wright JJ; Lubieniecki KP; Park JW; Ng SH; Devlin RH; Leong J; Koop BF; Davidson WS;,,,,Animal Genetics,,17976213,Journal Article,2008.0,Anim Genet. 2008 Feb;39(1):84-5. Epub 2007 Nov 1.,Sixteen type 1 polymorphic microsatellite markers from Chinook salmon (Oncorhynchus tshawytscha) expressed sequence tags.
"Leong KG, Niessen K, Kulic I, Raouf A, Eaves C, Pollet I, Karsan A.",10.1084/jem.20071082,,0022-1007,The Journal of Experimental Medicine,PMC2118507,17984306,Journal Article,2007.0,J Exp Med. 2007 Nov 26;204(12):2935-48.,Jagged1-mediated Notch activation induces epithelial-to-mesenchymal transition through Slug-induced repression of E-cadherin.
Jones MR; Maydan JS; Flibotte S; Moerman DG; Baillie DL;,10.1186/1471-2164-8-402,,,BMC Genomics,PMC2220004,17986355,Journal Article,2007.0,BMC Genomics. 2007 Nov 7;8:402.,Oligonucleotide Array Comparative Genomic Hybridization (oaCGH) based characterization of genetic deficiencies as an aid to gene mapping in Caenorhabditis elegans.
Chari R; Lockwood WW; Lam WL;,,,,Cancer Informatics,PMC2067254,17992253,Journal Article,2006.0,Cancer Inform. 2007 Feb 10;2:48-58.,Computational methods for the analysis of array comparative genomic hybridization.
"Zeaiter Z, Cohen D, Müsch A, Bagnoli F, Covacci A, Stein M",,,,Cellular Microbiology,,18005242,Journal Article,2008.0,Cell Microbiol. 2008 Mar;10(3):3.  10.1111/j.1462-5822.2007.01084.x,Analysis of detergent-resistant membranes of Helicobacter pylori infected gastric adenocarcinoma cells reveals a role for MARK2/Par1b in CagA-mediated disruption of cellular polarity.
Griffith OL; Montgomery SB; Bernier B; Chu B; Kasaian K; Aerts S; Mahony S; Sleumer MC; Bilenky M; Haeussler M; Griffith M; Gallo SM; Giardine B; Hooghe B; Van Loo P; Blanco E; Ticoll A; Lithwick S; Portales-Casamar E; Donaldson IJ; Robertson G; Wadelius C; De Bleser P; Vlieghe D; Halfon MS; Wasserman W; Hardison R; Bergman CM; Jones SJ;,10.1093/nar/gkm967,,0305-1048,Nucleic Acids Research,PMC2239002,18006570,Journal Article,2008.0,Nucleic Acids Res. 2008 Jan;36(Database issue):D107-13. Epub 2007 Nov 15.,ORegAnno: an open-access community-driven resource for regulatory annotation.
"Argiropoulos B, Yung E, Humphries RK.",,,,Genes and Development,,18006680,Journal Article,2007.0,Genes Dev. 2007 Nov 15;21(22):2845-9.,Unraveling the crucial roles of Meis1 in leukemogenesis and normal hematopoiesis.
de Boer JG; Yazawa R; Davidson WS; Koop BF;,10.1186/1471-2164-8-422,,,BMC Genomics,PMC2198921,18021408,Journal Article,2007.0,BMC Genomics. 2007 Nov 16;8:422.,Bursts and horizontal evolution of DNA transposons in the speciation of pseudotetraploid salmonids.
Lijavetzky D; Cabezas JA; Ibanez A; Rodriguez V; Martinez-Zapater JM;,10.1186/1471-2164-8-424,,,BMC Genomics,PMC2212664,18021442,Journal Article,2007.0,BMC Genomics. 2007 Nov 19;8:424.,High throughput SNP discovery and genotyping in grapevine (Vitis vinifera L.) by combining a re-sequencing approach and SNPlex technology.
Jiang J; Parker CE; Fuller JR; Kawula TH; Borchers CH;,10.1016/j.aca.2007.10.025,,0003-2670,Analytica Chimica Acta,PMC2135554,18022413,Journal Article,2007.0,Anal Chim Acta. 2007 Dec 12;605(1):70-9. Epub 2007 Oct 23.,An immunoaffinity tandem mass spectrometry (iMALDI) assay for detection of Francisella tularensis.
Yu J; Mookherjee N; Wee K; Bowdish DM; Pistolic J; Li Y; Rehaume L; Hancock RE;,,,,Journal of Immunology,,18025214,Journal Article,2007.0,J Immunol. 2007 Dec 1;179(11):7684-91.,"Host defense peptide LL-37, in synergy with inflammatory mediator IL-1beta, augments immune responses by multiple pathways."
Mastracci TL; Boulos FI; Andrulis IL; Lam WL;,10.1186/bcr1785,,1465-5411,Breast Cancer Research,PMC2246168,18036272,Journal Article,2007.0,Breast Cancer Res. 2007;9(6):215.,Genomics and premalignant breast lesions: clues to the development and progression of lobular breast cancer.
Gerdts V; Littel-van den Hurk Sv; Griebel PJ; Babiuk LA;,,,,Future Microbiology,,18041907,Journal Article,2007.0,Future Microbiol. 2007 Dec;2(6):667-75.,Use of animal models in the development of human vaccines.
"Grassl GA, Finlay BB.",,,,Current Opinion in Gastroenterology,,18043228,Journal Article,2008.0,Curr Opin Gastroenterol. 2008 Jan;24(1):22-6.,Pathogenesis of enteric Salmonella infections.
Zahir FR; Baross A; Delaney AD; Eydoux P; Fernandes ND; Pugh T; Marra MA; Friedman JM;,,,,Journal of Medical Genetics,,18057082,Journal Article,2008.0,J Med Genet. 2008 Apr;45(4):239-43. Epub 2007 Dec 5.,"A patient with vertebral, cognitive and behavioural abnormalities and a de novo deletion of NRXN1alpha."
"Thon JN, Schubert P, Duguay M, Serrano K, Lin S, Kast J, Devine DV",,,,Transfusion,,18067510,Journal Article,2008.0,Transfusion. 2008 Mar;48(3):3.  10.1111/j.1537-2995.2007.01546.x,Comprehensive proteomic analysis of protein changes during platelet storage requires complementary proteomic approaches.
Aich P; Jalal S; Czuba C; Schatte G; Herzog K; Olson DJ; Ross AR; Potter AA; Babiuk LA; Griebel P;,,,,Omics-A Journal of Integrative Biology,,18092912,Journal Article,2007.0,OMICS. 2007 Winter;11(4):413-34.,Comparative approaches to the investigation of responses to stress and viral infection in cattle.
Fadlelmola FM; Zhou M; de Leeuw RJ; Dosanjh NS; Harmer K; Huntsman D; Lam WL; Banerjee D;,10.1186/1476-4598-7-2,,,Molecular Cancer,PMC2254646,18179710,Journal Article,2008.0,Mol Cancer. 2008 Jan 7;7:2.  10.1186/1476-4598-7-2.,Sub-megabase resolution tiling (SMRT) array-based comparative genomic hybridization profiling reveals novel gains and losses of chromosomal regions in Hodgkin Lymphoma and Anaplastic Large Cell Lymphoma cell lines.
Kaushik RS; Begg AA; Wilson HL; Aich P; Abrahamsen MS; Potter A; Babiuk LA; Griebel P;,,,,Journal of Virological Methods,,18187212,Journal Article,2008.0,J Virol Methods. 2008 Mar;148(1-2):182-96.  10.1016/j.jviromet.2007.11.006. Epub 2008 Jan 9.,Establishment of fetal bovine intestinal epithelial cell cultures susceptible to bovine rotavirus infection.
Funk VA; Olafson RW; Raap M; Smith D; Aitken L; Haddow JD; Wang D; Dawson-Coates JA; Burke RD; Miller KM;,,,,Comparative Biochemistry and Physiology B-Biochemistry & Molecular Biology,,18187354,Journal Article,2008.0,Comp Biochem Physiol B Biochem Mol Biol. 2008 Mar;149(3):477-89.  10.1016/j.cbpb.2007.11.011. Epub 2007 Dec 4.,"Identification, characterization and deduced amino acid sequence of the dominant protease from Kudoa paniformis and K. thyrsites: a unique cytoplasmic cysteine protease."
Holliday JA; Ralph SG; White R; Bohlmann J; Aitken SN;,,,,New Phytologist,,18194148,Journal Article,2008.0,New Phytol. 2008;178(1):103-22.  10.1111/j.1469-8137.2007.02346.x. Epub 2008 Jan 10.,Global monitoring of autumn gene expression within and among phenotypically divergent populations of Sitka spruce (Picea sitchensis).
"White AP, Gibson DL, Grassl GA, Kay WW, Finlay BB, Vallance BA, Surette MG.",10.1128/IAI.01383-07,,0019-9567,Infection and Immunity,PMC2258808,18195033,Journal Article,2008.0,Infect Immun. 2008 Mar;76(3):1048-58.  10.1128/IAI.01383-07.,"Aggregation via the red, dry, and rough morphotype is not a virulence adaptation in Salmonella enterica serovar Typhimurium."
Keeling CI; Weisshaar S; Lin RP; Bohlmann J;,10.1073/pnas.0709466105,,0027-8424,Proceedings of The National Academy of Sciences of The United States of America,PMC2242725,18198275,Journal Article,2008.0,Proc Natl Acad Sci U S A. 2008 Jan 22;105(3):1085-90.  10.1073/pnas.0709466105. Epub 2008 Jan 15.,Functional plasticity of paralogous diterpene synthases involved in conifer defense.
Yu M; Zloty D; Cowan B; Shapiro J; Haegert A; Bell RH; Warshawski L; Carr N; McElwee KJ;,,,,Journal of Investigative Dermatology,,18200053,Journal Article,2008.0,J Invest Dermatol. 2008 Jul;128(7):1797-805.  10.1038/sj.jid.5701243. Epub 2008 Jan 17.,"Superficial, nodular, and morpheiform basal-cell carcinomas exhibit distinct gene expression profiles."
Kumar RA; McGhee KA; Leach S; Bonaguro R; Maclean A; Aguirre-Hernandez R; Abrahams BS; Coccaro EF; Hodgins S; Turecki G; Condon A; Muir WJ; Brooks-Wilson AR; Blackwood DH; Simpson EM;,,,,American Journal of Medical Genetics Part B-Neuropsychiatric Genetics,,18205168,Journal Article,2008.0,Am J Med Genet B Neuropsychiatr Genet. 2008 Sep 5;147B(6):880-9.  10.1002/ajmg.b.30696.,"Initial association of NR2E1 with bipolar disorder and identification of candidate mutations in bipolar disorder, schizophrenia, and aggression through resequencing."
"Lee I, Lehner B, Crombie C, Wong W, Fraser AG, Marcotte EM",,,,Nature Genetics,,18223650,Journal Article,2008.0,Nat Genet. 2008 Feb;40(2):2.  10.1038/ng.2007.70,A single gene network accurately predicts phenotypic effects of gene perturbation in Caenorhabditis elegans.
Ralph SG; Chun HJ; Cooper D; Kirkpatrick R; Kolosova N; Gunter L; Tuskan GA; Douglas CJ; Holt RA; Jones SJ; Marra MA; Bohlmann J;,10.1186/1471-2164-9-57,,,BMC Genomics,PMC2270264,18230180,Journal Article,2008.0,BMC Genomics. 2008 Jan 29;9:57.  10.1186/1471-2164-9-57.,"Analysis of 4,664 high-quality sequence-finished poplar full-length cDNA clones and their utility for the discovery of genes responding to insect feeding."
Griffith M; Tang MJ; Griffith OL; Morin RD; Chan SY; Asano JK; Zeng T; Flibotte S; Ally A; Baross A; Hirst M; Jones SJ; Morin GB; Tai IT; Marra MA;,,,,Nature Methods,,18235430,Journal Article,2008.0,Nat Methods. 2008 Feb;5(2):118.  10.1038/nmeth0208-118.,ALEXA: a microarray design platform for alternative expression analysis.
Podder M; Ruan J; Tripp BW; Chu ZE; Tebbutt SJ;,10.1186/1755-8794-1-5,,,BMC Medical Genomics,PMC2266772,18237385,Journal Article,2008.0,BMC Med Genomics. 2008 Jan 31;1:5.  10.1186/1755-8794-1-5.,Robust SNP genotyping by multiplex PCR and arrayed primer extension.
Yazawa R; Cooper GA; Beetz-Sargent M; Robb A; McKinnel L; Davidson WS; Koop BF,,,,,,18241922,Journal Article,2008.0,Mol Immunol. 2008 Apr;45(8):2150-7.  10.1016/j.molimm.2007.12.007. Epub 2008 Jan 31.,Functional adaptive diversity of the Atlantic salmon T-cell receptor gamma locus.
Shadeo A; Chari R; Lonergan KM; Pusic A; Miller D; Ehlen T; Van Niekerk D; Matisic J; Richards-Kortum R; Follen M; Guillaud M; Lam WL; MacAulay C;,10.1186/1471-2164-9-64,,,BMC Genomics,PMC2277413,18248679,Journal Article,2008.0,BMC Genomics. 2008 Feb 4;9:64.  10.1186/1471-2164-9-64.,Up regulation in gene expression of chromatin remodelling factors in cervical intraepithelial neoplasia.
"Karunakaran KP, Rey-Ladino J, Stoynov N, Berg K, Shen C, Jiang X, Gabel BR, Yu H, Foster LJ, Brunham RC.",,,,Journal of Immunology,,18250455,Journal Article,2008.0,J Immunol. 2008 Feb 15;180(4):2459-65.,Immunoproteomic discovery of novel T cell antigens from the obligate intracellular pathogen Chlamydia.
Yin T; Difazio SP; Gunter LE; Zhang X; Sewell MM; Woolbright SA; Allan GJ; Kelleher CT; Douglas CJ; Wang M; Tuskan GA,10.1101/gr.7076308,,1088-9051,,PMC2259106,18256239,Journal Article,2008.0,Genome Res. 2008 Mar;18(3):422-30.  10.1101/gr.7076308. Epub 2008 Feb 6.,Genome structure and emerging evidence of an incipient sex chromosome in Populus.
Wang JC; Coe BP; Lomax B; MacLeod PM; Parslow MI; Schein JE; Lam WL; Eydoux P;,,,,American Journal of Medical Genetics Part A,,18266247,Journal Article,2008.0,Am J Med Genet A. 2008 May 1;146A(9):1173-9.  10.1002/ajmg.a.32246.,Inverted duplication with terminal deletion of 5p and no cat-like cry.
Karsan A;,,,,Science Signaling,,18270166,Journal Article,2008.0,Sci Signal. 2008 Jan 15;1(2):pe2.  10.1126/stke.12pe2.,Notch and integrin affinity: a sticky situation.
"Aerts S, Haeussler M, van Vooren S, Griffith OL, Hulpiau P, Jones SJ, Montgomery SB, Bergman CM; Open Regulatory Annotation Consortium.",10.1186/gb-2008-9-2-r31,,1474-7596,Genome Biology,PMC2374703,18271954,Journal Article,2008.0,Genome Biol. 2008;9(2):R31.  10.1186/gb-2008-9-2-r31.,Text-mining assisted regulatory annotation.
Young ND; Cooper GA; Nowak BF; Koop BF; Morrison RN;,,,,Molecular Immunology,,18282602,Journal Article,2008.0,Mol Immunol. 2008 May;45(9):2581-97.  10.1016/j.molimm.2007.12.023. Epub 2008 Feb 20.,Coordinated down-regulation of the antigen processing machinery in the gills of amoebic gill disease-affected Atlantic salmon (Salmo salar L.).
Morin RD; O'Connor MD; Griffith M; Kuchenbauer F; Delaney A; Prabhu AL; Zhao Y; McDonald H; Zeng T; Hirst M; Eaves CJ; Marra MA;,10.1101/gr.7179508,,1088-9051,Genome Research,PMC2279248,18285502,Journal Article,2008.0,Genome Res. 2008 Apr;18(4):610-21.  10.1101/gr.7179508. Epub 2008 Feb 19.,Application of massively parallel sequencing to microRNA profiling and discovery in human embryonic stem cells.
"Dorfman R, Sandford A, Taylor C, Huang B, Frangolias D, Wang Y, Sang R, Pereira L, Sun L, Berthiaume Y, Tsui LC, Pare PD, Durie P, Corey M, Zielenski J.",10.1172/JCI33754,,0021-9738,Journal of Clinical Investigation,PMC2248329,18292811,Journal Article,2008.0,J Clin Invest. 2008 Mar;118(3):1040-9.  10.1172/JCI33754.,Complex two-gene modulation of lung disease severity in children with cystic fibrosis.
Whale TA; Griebel PJ;,,,,Veterinary Journal,,18296086,Journal Article,2009.0,Vet J. 2009 May;180(2):169-77.  10.1016/j.tvjl.2007.12.030. Epub 2008 Mar 4.,A sheep in wolf's clothes: can neutrophils direct the immune response?
Bashash M; Shah A; Hislop G; Brooks-Wilson A; Le N; Bajdik C;,,,0835-7900,Canadian Journal of Gastroenterology,PMC2659133,18299732,Journal Article,2008.0,Can J Gastroenterol. 2008 Feb;22(2):143-8.,"Incidence and survival for gastric and esophageal cancer diagnosed in British Columbia, 1990 to 1999."
Grassl GA; Valdez Y; Bergstrom KS; Vallance BA; Finlay BB,,,,,,18325390,Journal Article,2008.0,Gastroenterology. 2008 Mar;134(3):768-80.  10.1053/j.gastro.2007.12.043. Epub 2008 Jan 9.,Chronic enteric salmonella infection in mice leads to severe and persistent intestinal fibrosis.
LeBlanc JC; Goncalves ER; Mohn WW;,10.1128/AEM.02711-07,,0099-2240,Applied and Environmental Microbiology,PMC2394902,18326668,Journal Article,2008.0,Appl Environ Microbiol. 2008 May;74(9):2627-36.  10.1128/AEM.02711-07. Epub 2008 Mar 7.,Global response to desiccation stress in the soil actinomycete Rhodococcus jostii RHA1.
Cherkasov A; Ban F; Santos-Filho O; Thorsteinson N; Fallahi M; Hammond GL;,,,,Journal of Medicinal Chemistry,,18330978,Journal Article,2008.0,J Med Chem. 2008 Apr 10;51(7):2047-56.  10.1021/jm7011485. Epub 2008 Mar 11.,An updated steroid benchmark set and its application in the discovery of novel nanomolar ligands of sex hormone-binding globulin.
Mesoudi A; Danielson P;,,,,Theory in Biosciences,,18357481,Journal Article,2008.0,Theory Biosci. 2008 Aug;127(3):229-40.  10.1007/s12064-008-0027-y. Epub 2008 Mar 21.,"Ethics, evolution and culture."
Vucic EA; Brown CJ; Lam WL;,,,,Pharmacogenomics,,18370850,Journal Article,2008.0,Pharmacogenomics. 2008 Feb;9(2):215-34.  10.2217/14622416.9.2.215.,Epigenetics of cancer progression.
"Argiropoulos B, Palmqvist L, Yung E, Kuchenbauer F, Heuser M, Sly LM, Wan A, Krystal G, Humphries RK.",,,,Experimental Hematology,,18375036,Journal Article,2008.0,Exp Hematol. 2008 Jul;36(7):845-59.  10.1016/j.exphem.2008.02.011,Linkage of Meis1 leukemogenic activity to multiple downstream effectors including Trib2 and Ccl3.
von Schalburg KR; Leong J; Cooper GA; Robb A; Beetz-Sargent MR; Lieph R; Holt RA; Moore R; Ewart KV; Driedzic WR; ten Hallers BF; Zhu B; de Jong PJ; Davidson WS; Koop BF;,10.1007/s10126-008-9089-6,,1436-2228,Marine Biotechnology,PMC2516299,18386095,Journal Article,2008.0,Mar Biotechnol (NY). 2008 Sep-Oct;10(5):487-91.  10.1007/s10126-008-9089-6. Epub 2008 Apr 2.,Rainbow smelt (Osmerus mordax) genomic library and EST resources.
"Janssen T, Husson SJ, Lindemans M, Mertens I, Rademakers S, Ver Donck K, Geysen J, Jansen G, Schoofs L",10.1074/jbc.M709060200,,0021-9258,Journal of Biological Chemistry,PMC3258896,18390545,Journal Article,2008.0,J Biol Chem. 2008 May 30;283(22):22.  10.1074/jbc.M709060200,Functional characterization of three G protein-coupled receptors for pigment dispersing factors in Caenorhabditis elegans.
Lockwood WW; Chari R; Coe BP; Girard L; Macaulay C; Lam S; Gazdar AF; Minna JD; Lam WL;,10.1038/onc.2008.98,,0950-9232,Oncogene,PMC2849646,18391978,Journal Article,2008.0,Oncogene. 2008 Jul 31;27(33):4615-24.  10.1038/onc.2008.98. Epub 2008 Apr 7.,DNA amplification is a ubiquitous mechanism of oncogene activation in lung and other cancers.
"Valdez Y, Diehl GE, Vallance BA, Grassl GA, Guttman JA, Brown NF, Rosenberger CM, Littman DR, Gros P, Finlay BB.",10.1111/j.1462-5822.2008.01155.x,,1462-5814,Cellular Microbiology,PMC3051341,18397382,Journal Article,2008.0,Cell Microbiol. 2008 Aug;10(8):1646-61.  10.1111/j.1462-5822.2008.01155.x,Nramp1 expression by dendritic cells modulates inflammatory responses during Salmonella Typhimurium infection.
Rosenzweig D; Smith D; Myler PJ; Olafson RW; Zilberstein D;,,,,Proteomics,,18398879,Journal Article,2008.0,Proteomics. 2008 May;8(9):1843-50.  10.1002/pmic.200701043.,Post-translational modification of cellular proteins during Leishmania donovani differentiation.
Ehlting J; Chowrira SG; Mattheus N; Aeschliman DS; Arimura G; Bohlmann J.,10.1186/1471-2164-9-154,,,BMC Genomics,PMC2375910,18400103,Journal Article,2008.0,BMC Genomics. 2008 Apr 9;9:154.  10.1186/1471-2164-9-154.,"Comparative transcriptome analysis of Arabidopsis thaliana infested by diamond back moth (Plutella xylostella) larvae reveals signatures of stress response, secondary metabolism, and signalling."
Moerman DG; Barstead RJ;,,,,Briefings in Functional Genomics and Proteomics,,18417533,Journal Article,2008.0,Brief Funct Genomic Proteomic. 2008 May;7(3):195-204.  10.1093/bfgp/eln016. Epub 2008 Apr 16.,Towards a mutation in every gene in Caenorhabditis elegans.
Schlosser J; Olsson N; Weis M; Reid K; Peng F; Lund S; Bowen P;,,,,Protoplasma,,18421552,Journal Article,2008.0,Protoplasma. 2008;232(3-4):255-65.  10.1007/s00709-008-0280-9.,Cellular expansion and gene expression in the developing grape (Vitis vinifera L.).
"Bishop JL, Sly LM, Krystal G, Finlay BB.",10.1128/IAI.01596-07,,0019-9567,Infection and Immunity,PMC2446709,18426884,Journal Article,2008.0,Infect Immun. 2008 Jul;76(7):2913-22.  10.1128/IAI.01596-07.,The inositol phosphatase SHIP controls Salmonella enterica serovar Typhimurium infection in vivo.
Fjell CD; Jenssen H; Fries P; Aich P; Griebel P; Hilpert K; Hancock RE; Cherkasov A;,,,,Proteins-Structure Function and Bioinformatics,,18442133,Journal Article,2008.0,Proteins. 2008 Nov 1;73(2):420-30.  10.1002/prot.22059.,Identification of novel host defense peptides and the absence of alpha-defensins in the bovine genome.
Morozova O; Marra MA;,,,,Biochemistry and Cell Biology-Biochimie Et Biologie Cellulaire,,18443621,Journal Article,2008.0,Biochem Cell Biol. 2008 Apr;86(2):81-91.  10.1139/O08-003.,From cytogenetics to next-generation sequencing technologies: advances in the detection of genome rearrangements in tumors.
Wishart DS;,,,,Methods in Molecular Biology,,18446295,Journal Article,2008.0,Methods Mol Biol. 2008;443:333-51.  10.1007/978-1-59745-177-2_17.,Identifying putative drug targets and potential drug leads: starting points for virtual screening and docking.
"Finn RM, Browne K, Hodgson KC, Ausió J",10.1529/biophysj.108.130021,,0006-3495,Biophysical Journal,PMC2479616,18456819,Journal Article,2008.0,Biophys J. 2008 Aug;95(3):3.  10.1529/biophysj.108.130021,"sNASP, a histone H1-specific eukaryotic chaperone dimer that facilitates chromatin assembly."
Bohlmann J; Keeling CI,,,,Plant Journal,,18476870,Journal Article,2008.0,Plant J. 2008 May;54(4):656-69.  10.1111/j.1365-313X.2008.03449.x.,Terpenoid biomaterials
Moen T; Hayes B; Baranski M; Berg PR; Kjoglum S; Koop BF; Davidson WS; Omholt SW; Lien S,10.1186/1471-2164-9-223,,,,PMC2405805,18482444,Journal Article,2008.0,BMC Genomics. 2008 May 15;9:223.  10.1186/1471-2164-9-223.,A linkage map of the Atlantic salmon (Salmo salar) based on EST-derived SNP markers.
Coe BP; Macaulay C; Lam WL; Ylstra B; Carvalho B; Meijer GA,,,,Cancer Research,,18483289,Journal Article,2008.0,Cancer Res. 2008 May 15;68(10):4010; author reply 4010.  10.1158/0008-5472.CAN-07-6439.,Comment re: a comparison of DNA copy number profiling platforms.
Blohmke CJ; Victor RE; Hirschfeld AF; Elias IM; Hancock DG; Lane CR; Davidson AG; Wilcox PG; Smith KD; Overhage J; Hancock RE; Turvey SE;,,,,Journal of Immunology,,18490781,Journal Article,2008.0,J Immunol. 2008 Jun 1;180(11):7764-73.,Innate immunity mediated by TLR5 as a novel antiinflammatory target for cystic fibrosis lung disease.
Chi B; deLeeuw RJ; Coe BP; Ng RT; MacAulay C; Lam WL;,10.1186/1471-2105-9-243,,,BMC Bioinformatics,PMC2408605,18492270,Journal Article,2008.0,BMC Bioinformatics. 2008 May 20;9:243.  10.1186/1471-2105-9-243.,MD-SeeGH: a platform for integrative analysis of multi-dimensional genomic data.
"Niessen K, Karsan A.",,,,Circulation Research,,18497317,Journal Article,2008.0,Circ Res. 2008 May 23;102(10):1169-81.  10.1161/CIRCRESAHA.108.174318.,Notch signaling in cardiac development.
Mos L; Cooper GA; Serben K; Cameron M; Koop BF;,,,,Environmental Science & Technology,,18505012,Journal Article,2008.0,Environ Sci Technol. 2008 Apr 1;42(7):2656-62.,"Effects of diesel on survival, growth, and gene expression in rainbow trout (Oncorhynchus mykiss) fry."
Wishart DS; Arndt D; Berjanskii M; Tang P; Zhou J; Lin G;,10.1093/nar/gkn305,,0305-1048,Nucleic Acids Research,PMC2447725,18515350,Journal Article,2008.0,Nucleic Acids Res. 2008 Jul 1;36(Web Server issue):W496-502.  10.1093/nar/gkn305. Epub 2008 May 30.,CS23D: a web server for rapid protein structure generation using NMR chemical shifts and sequence data.
Holt RA; Jones SJ;,,,,Genome Research,,18519653,Journal Article,2008.0,Genome Res. 2008 Jun;18(6):839-46.  10.1101/gr.073262.107.,The new paradigm of flow cell sequencing.
Kindrachuk J; Potter J; Wilson HL; Griebel P; Babiuk LA; Napper S;,,,,Mini-Reviews in Medicinal Chemistry,,18537714,Journal Article,2008.0,Mini Rev Med Chem. 2008 Jun;8(6):590-600.,Activation and regulation of toll-like receptor 9: CpGs and beyond.
Rogers LD; Kristensen AR; Boyle EC; Robinson DP; Ly RT; Finlay BB; Foster LJ;,,,,Journal of Proteomics,,18541478,Journal Article,2008.0,J Proteomics. 2008 Apr 30;71(1):97-108.  10.1016/j.jprot.2008.01.011. Epub 2008 Feb 5.,Identification of cognate host targets and specific ubiquitylation sites on the Salmonella SPI-1 effector SopB/SigD.
Hoffman BG; Zavaglia B; Witzsche J; Ruiz de Algara T; Beach M; Hoodless PA; Jones SJ; Marra MA; Helgason CD;,10.1186/gb-2008-9-6-r99,,1474-7596,Genome Biology,PMC2481431,18554416,Journal Article,2008.0,Genome Biol. 2008;9(6):R99.  10.1186/gb-2008-9-6-r99. Epub 2008 Jun 14.,Identification of transcripts with enriched expression in the developing and adult pancreas.
"Gooderham WJ, Bains M, McPhee JB, Wiegand I, Hancock RE.",10.1128/JB.00594-08,,0021-9193,Journal of Bacteriology,PMC2519372,18556795,Journal Article,2008.0,J Bacteriol. 2008 Aug;190(16):5624-34.  10.1128/JB.00594-08.,"Induction by cationic antimicrobial peptides and involvement in intrinsic polymyxin and antimicrobial peptide resistance, biofilm formation, and swarming motility of PsrA in Pseudomonas aeruginosa."
Pugh TJ; Delaney AD; Farnoud N; Flibotte S; Griffith M; Li HI; Qian H; Farinha P; Gascoyne RD; Marra MA;,10.1093/nar/gkn378,,0305-1048,Nucleic Acids Research,PMC2490749,18559357,Journal Article,2008.0,Nucleic Acids Res. 2008 Aug;36(13):e80.  10.1093/nar/gkn378. Epub 2008 Jun 17,Impact of whole genome amplification on analysis of copy number variants.
Yazawa R; Yasuike M; Leong J; von Schalburg KR; Cooper GA; Beetz-Sargent M; Robb A; Davidson WS; Jones SR; Koop BF;,,,,Marine Biotechnology,,18574633,Journal Article,2008.0,Mar Biotechnol (NY). 2008 Nov-Dec;10(6):741-9.  10.1007/s10126-008-9112-y. Epub 2008 Jun 24.,"EST and mitochondrial DNA sequences support a distinct Pacific form of salmon louse, Lepeophtheirus salmonis."
