Title,PMID
Capecitabine as salvage treatment in relapsed nasopharyngeal carcinoma: a phase II study,18404784
Nivolumab for recurrent squamous-cell carcinoma of the head and neck,27857112
Evidence for a role of the PD-1:PD-L1 pathway in immune resistance of HPV-associated head and neck squamous cell carcinoma,23288508
Safety profile of nivolumab administered as 30-min infusion: analysis of data from CheckMate 153,29442139
Phase III randomized study comparing cisplatin and fluorouracil as single agents and in combination for advanced squamous cell carcinoma of the head and neck,1732427
Combination gemcitabine and cisplatin chemotherapy for metastatic or recurrent nasopharyngeal carcinoma: report of a phase II study,12181249
A phase II study of carboplatin in nasopharyngeal carcinoma,9143400
Results of a randomised phase II study comparing docetaxel with methotrexate in patients with recurrent head and neck cancer,15341981
A phase II study of docetaxel in patients with metastatic squamous cell carcinoma of the head and neck,10507770
Docetaxel: an active drug for squamous cell carcinoma of the head and neck,8622087
Radiotherapy plus cetuximab for squamous cell carcinoma of the head and neck,16467544
Platinum-based chemotherapy plus cetuximab in head and neck cancer,18784101
Cetuximab: Adverse event profile and recommendations for toxicity management,15973844
Management and preparedness for infusion and hypersensitivity reactions,17522249
Quality of life changes in patients with thyroid cancer after withdrawal of thyroid hormone therapy,9292951
Comparison of administration of recombinant human thyrotropin with withdrawal of thyroid hormone for radioactive iodine scanning in patients with thyroid carcinoma,9302303
The response of adenoid cystic carcinoma to tamoxifen,9509115
Prognostic impact of serum calcitonin and carcinoembryonic antigen doubling-times in patients with medullary thyroid carcinoma,16091497
Vandetanib: a novel targeted therapy for the treatment of metastatic or locally advanced medullary thyroid cancer,23640345
Unusual adverse event with vandetanib in metastatic medullary thyroid cancer,22162581
Vandetanib (100 mg) in patients with locally advanced or metastatic hereditary medullary thyroid cancer,20371662
Incidence and risk of hypertension with vandetanib in cancer patients: a systematic review and meta- analysis of clinical trials,22882307
Induction chemotherapy with cisplatin and gemcitabine followed by accelerated radiotherapy and concurrent cisplatin in patients with stage IV(A-B) nasopharyngeal carcinoma,16721741
Concurrent chemotherapy-radiotherapy compared with radiotherapy alone in locoregionally advanced nasopharyngeal carcinoma: Progression free survival analysis of a phase III randomized trial,11956263
Cisplatin and 5-fluorouracil for symptom control in advanced salivary adenoid cystic carcinoma,9307718
Paclitaxel and carboplatin in relapsed or metastatic nasopharyngeal carcinoma: a multicenter phase II study,17415808
A phase II study of combination paclitaxel and carboplatin in advanced nasopharyngeal carcinoma,10070305
Phase II trial of a paclitaxel and carboplatin combination in Asian patients with metastatic nasopharyngeal carcinoma,10093695
Carboplatin plus taxol is an effective third-line regimen in recurrent undifferentiated nasopharyngeal carcinoma,12400975
Nivolumab for recurrent squamous-cell carcinoma of the head and neck,27857112
Evidence for a role of the PD-1:PD-L1 pathway in immune resistance of HPV-associated head and neck squamous cell carcinoma,23288508
Efficacy of pegylated-liposomal doxorubicin in the treatment of AIDS-related Kaposi's Sarcoma after failure of standard chemotherapy,9053490
Complete remission after treatment of acute promyelocytic leukemia with arsenic trioxide,9801394
United States multicenter study of arsenic trioxide in relapsed acute promyelocytic leukemia,11559723
Ruxolitinib versus standard therapy for the treatment of polycythemia vera,25901433
Comparison of 200 mg/m(2) melphalan and 8 Gy total body irradiation plus 140 mg/m(2) melphalan as conditioning regimens for peripheral blood stem cell transplantation in patients with newly diagnosed multiple myeloma: final analysis of the Intergroupe Francophone du Myelome 9502 randomized trial,11806971
High-dose melphalan with autotransplantation for refractory multiple myeloma: Results of a Southwest Oncology Group phase II trial,10561273
High-dose chemotherapy with hematopoietic stem-cell rescue for multiple myeloma,12736280
Safety and efficacy of bosutinib (SKI-606) in chronic phase Philadelphia chromosome-positive chronic myeloid leukemia patients with resistance or intolerance to imatinib,21865346
Use of all-trans retinoic acid plus arsenic trioxide as an alternative to chemotherapy in untreated acute promyelocytic leukemia,16373661
Hydroxyurea for patients with essential thrombocythemia and a high risk of thrombosis,7700286
A clinical update in polycythemia vera and essential thrombocythemia,10967156
Anagrelide: a new drug for treating thrombocytosis,3362187
Anagrelide for control of thrombocythemia in polycythemia and other myeloproliferative disorders,9025162
Long-term use of anagrelide in young patients with essential thrombocythemia,11159509
The paediatric cytarabine syndrome can be viewed as a drug- induced cytokine release syndrome,14871258
Phase 2 study of azacytidine plus sorafenib in patients with acute myeloid leukemia and FLT-3 internal tandem duplication mutation,23613521
Hematologic response to three alternative dosing schedules of azacitidine in patients with myelodysplastic syndromes,19255328
Azacitidine and donor lymphocyte infusions as first salvage therapy for relapse of AML or MDS after allogeneic stem cell transplantation,23314834
Clinical activity of azacitidine in patients who relapse after allogeneic stem cell transplantation for acute myeloid leukemia,27081178
Efficacy of lenalidomide in myelodysplastic syndromes,15703420
Rituximab treatment for Epstein-Barr virus DNAemia after alternative-donor hematopoietic stem cell transplantation,20950702
Efficacy and safety of a specific inhibitor of the BCR-ABL tyrosine kinase in chronic myeloid leukemia,11287972
Activity of a specific inhibitor of the BCR-ABL tyrosine kinase in the blast crisis of chronic myeloid leukemia and acute lymphoblastic leukemia with the Philadelphia chromosome,11287973
A phase 2 trial of ponatinib in Philadelphia chromosome-positive leukemias,24180494
Arsenic trioxide improves event-free and overall survival for adults with acute promyelocytic leukemia: North American Leukemia Intergroup Study C9710,20705755
Use of all-trans retinoic acid plus arsenic trioxide as an alternative to chemotherapy in untreated acute promyelocytic leukemia,16373661
Management of Adverse Events Following Treatment with Anti-Programmed Death-1 Agents,27401894
VP-16 and cisplatin as first-line therapy for small-cell lung cancer,2997406
First-line crizotinib versus chemotherapy in ALK-positive lung cancer,25470694
Crizotinib versus chemotherapy in advanced ALK-positive lung cancer,23724913
Cisplatin and etoposide versus carboplatin and paclitaxel with concurrent radiotherapy for stage III non-small-cell lung cancer: An analysis of Veterans Health Administration data,25422491
Combined chemoradiotherapy regimens of paclitaxel and carboplatin for locally advanced non-small-cell lung cancer: A randomized phase II locally advanced multi-modality protocol,16087941
Screening for epidermal growth factor receptor mutations in lung cancer,19692684
American Society of Clinical Oncology Clinical Practice Guideline update on chemotherapy for stage IV non-small cell lung cancer,20681066
Randomized phase III trial of paclitaxel plus carboplatin versus vinorelbine plus cisplatin in the treatment of patients with advanced non-small-cell lung cancer: A Southwest Oncology Group Trial,11432888
Phase III trial comparing a defined duration of therapy versus continuous therapy followed by second-line therapy in advanced-stage IIIB/IV non–small-cell lung cancer,11870177
Phase III study comparing cisplatin plus gemcitabine with cisplatin plus pemetrexed in chemotherapy-naive patients with advanced-stage non-small-cell lung cancer,18506025
Prognostic and predictive factors in a randomized phase III trial comparing cisplatin- pemetrexed versus cisplatin-gemcitabine in advanced non-small-cell lung cancer,19828561
Prospective randomized trial of docetaxel versus best supportive care in patients with non-small-cell lung cancer previously treated with platinum-based chemotherapy,10811675
Irinotecan plus cisplatin compared to etoposide plus cisplatin for extensive small-cell lung cancer,11784874
Phase III study of afatinib or cisplatin plus pemetrexed in patients with metastatic lung adenocarcinoma with EGFR mutations,23816960
Safety profile of nivolumab administered as 30-min infusion: analysis of data from CheckMate 153,29442139
Assessment of nivolumab benefit-risk profile of a 240-mg flat dose relative to a 3-mg/kg dosing regimen in patients with advanced tumors,28520840
Safety profile of nivolumab administered as 30-min infusion: analysis of data from CheckMate 153,29442139
Pembrolizumab versus Chemotherapy for PD-L1-Postive Non-Small Cell Lung Cancer,27718847
Management of Adverse Events Following Treatment with Anti-Programmed Death-1 Agents,27401894
Phase III study of pemetrexed in combination with cisplatin versus cisplatin alone in patients with malignant pleural mesothelioma,12860938
Phase I clinical and pharmacokinetic study of pemetrexed and carboplatin in patients with malignant pleural mesothelioma,12177114
Clinical and pharmacokinetic phase I study of multitargeted antifolate (LY231514) in combination with cisplatin,10506594
Red wine decreases cyclosporine bioavailability,11719733
A phase 1 study of obinutuzumab induction followed by 2 years of maintenance in patients with relapsed CD20-positive B-cell malignancies,22438256
Obinutuzumab plus chlorambucil in patients with CLL and coexisting conditions,24401022
Phase III randomized study of bendamustine compared with chlorambucil in previously untreated patients with chronic lymphocytic leukemia,19652068
Lenalidomide after stem-cell transplantation for multiple myeloma,22571201
Lenalidomide maintenance after stem-cell transplantation for multiple myeloma,22571202
Lenalidomide maintenance after stem-cell transplantation for multiple myeloma,22571202
Molecular mechanisms mediating antimyeloma activity of proteasome inhibitor PS-341,12393500
Activity and safety of bortezomib in multiple myeloma patients with advanced renal failure: a multicenter retrospective study,17138816
Once- versus twice-weekly bortezomib induction therapy with CyCorD in newly diagnosed multiple myeloma,20413666
Prospective Comparison of subcutaneous versus intravenous administration of bortezomib in patients with multiple myeloma,18768528
Bortezomib plus dexamethasone is superior to vincristine plus doxorubicin plus dexamethasone as induction treatment prior to autologous stem-cell transplantation in newly diagnosed multiple myeloma: results of the IFM 2005-01 phase III trial,20823406
How I treat multiple myeloma in younger patients,19861683
Long-term follow-up from a phase 1/2 study of single-agent bortezomib in relapsed systemic AL amyloidosis,25202139
Romidepsin for the treatment of relapsed/refractory peripheral T-cell lymphoma: pivotal study update demonstrates durable responses,24456586
Phase 2 trial of romidepsin in patients with peripheral T-cell lymphoma,21355097
Activity of oral fludarabine phosphate in previously treated chronic lymphocytic leukemia,11709569
How I treat hemophagocytic lymphohistiocytosis,21828139
HLH-2004: Diagnostic and therapeutic guidelines for hemophagocytic lymphohistiocytosis,16937360
Soluble interleukin-2 receptor is a sensitive diagnostic test in adult HLH,29296904
Rituximab plus fludarabine and cyclophosphamide prolongs progression-free survival compared with fludarabine and cyclophosphamide alone in previously treated chronic lymphocytic leukemia,20194844
"Chronic lymphocytic leukemia in less fit patients: ""slow-go""",21774745
A network meta-analysis of therapies for previously untreated chronic lymphocytic leukemia,22405931
The clinical pharmacology of methotrexate: new applications of an old drug,342086
Treatment of primary CNS lymphoma with methotrexate and deferred radiotherapy: a report of NABTT 96-07,12637469
Incidence and risk factors for central nervous system relapse in patients with diffuse large B-cell lymphoma: the impact of the addition of rituximab to CHOP chemotherapy,19861575
Molecular mechanisms mediating antimyeloma activity of proteasome inhibitor PS-341,12393500
Activity and safety of bortezomib in multiple myeloma patients with advanced renal failure: a multicenter retrospective study,17138816
Phase I-II trial of bortezomib plus oral cyclophosphamide and prednisone in relapsed and refractory multiple myeloma,18645194
Once- versus twice-weekly bortezomib induction therapy with CyCorD in newly diagnosed multiple myeloma,20413666
Prospective Comparison of subcutaneous versus intravenous administration of bortezomib in patients with multiple myeloma,18768528
Long-term follow-up from a phase 1/2 study of single-agent bortezomib in relapsed systemic AL amyloidosis,25202139
The clinical pharmacology of methotrexate: new applications of an old drug,342086
Treatment of primary CNS lymphoma with methotrexate and deferred radiotherapy: a report of NABTT 96-07,12637469
Prevention of thalidomide- and lenalidomide- associated thrombosis in myeloma,18094721
Should bisphosphonates be part of the standard therapy of patients with multiple myeloma or bone metastases from other cancers? An evidence-based review,9508210
Osteonecrosis of the jaw in multiple myeloma patients: clinical features and risk factors,16484704
Renal safety of 1-hour pamidronate infusion for breast cancer and multiple myeloma patients: comparison between clinical trials and population-based database,17156591
Safe and tolerable one-hour pamidronate infusion for multiple myeloma patients,19337444
Use of bisphosphonates in multiple myeloma: IMWG response to Mayo Clinic consensus statement,17418085
SMILE for natural killer/T-cell lymphoma: analysis of safety and efficacy from the Asia Lymphoma Study Group,22919026
Encouraging experience in the treatment of nasal type extra-nodal NK/T-cell lymphoma in a non-Asian population,27183991
Obinutuzumab plus chlorambucil in patients with CLL and coexisting conditions,24401022
Rituximab plus chlorambucil as first-line treatment for chronic lymphocytic leukemia: Final analysis of an open-label phase II study,24638012
Continued improvement in survival in multiple myeloma: changes in early mortality and outcomes in older patients,24157580
Continued improvement in survival in multiple myeloma: changes in early mortality and outcomes in older patients,24157580
“Phase 2 and 3 clinical trial of oral bexarotene (Targretin capsules) for the treatment of refractory or persistent early-stage cutaneous T-cell lymphoma,11346336
Brentuximab Vedotin (SGN-35) in patients with relapsed or refractory systemic anaplastic large-cell lymphoma: results of a phase II study,22614995
Low-intensity therapy in adults with Burkitt’s lymphoma,24224624
Dose-adjusted EPOCH-rituximab therapy in primary mediastinal B-cell lymphoma,23574119
Dose-adjusted EPOCH chemotherapy for untreated large B-cell lymphomas: a pharmacodynamic approach with high efficacy,11929754
Impact of induction regimen and stem cell transplantation on outcomes in double-hit lymphoma: a multicenter retrospective analysis,25161267
Comparison of a standard regimen (CHOP) with three intensive chemotherapy regimens for advanced non-Hodgkin’s lymphoma,7680764
Anti-interleukin-6 receptor antibody (tocilizumab) treatment of multicentric Castleman's disease,17541233
Humanized anti-interleukin-6 receptor antibody treatment of multicentric Castleman disease,15998837
Siltuximab for multicentric Castleman disease,25110138
First-line treatment with zoledronic acid as compared with clodronic acid in multiple myeloma (MRC Myeloma IX) : a randomised controlled trial,21131037
Pomalidomide alone or in combination with low-dose dexamethasone in relapsed and refractory multiple myeloma: a randomized phase 2 study,24421329
International Myeloma Working Group updated criteria for the diagnosis of multiple myeloma,25439696
Obinutuzumab (GA101) in relapsed/refractory chronic lymphocytic leukemia: final data from the phase ½ GAUGUIN study,25143487
Phase 1 study results of the type II glycoengineered humanized anti- CD20 monoclonal antibody obinutuzumab (GA101) in B-cell lymphoma patients,22431570
A phase 1 study of obinutuzumab induction followed by 2 years of maintenance in patients with relapsed CD20-positive B-cell malignancies,22438256
Randomized Phase II Trial Comparing Obinutuzumab (GA101) with Rituximab in Patients with Relapsed CD20+ Indolent B-Cell Non-Hodgkin Lymphoma: Final Analysis of the GAUSS Study,26282650
Obinutuzumab plus chlorambucil in patients with CLL and coexisting conditions,24401022
Bruton tyrosine kinase inhibitor ibrutinib (PCI-32765) has significant activity in patients with relapsed/refractory B-cell malignancies,23045577
Treatment of fludarabine-refractory chronic lymphocytic leukemia,19402170
Targeting BTK with ibrutinib in relapsed chronic lymphocytic leukemia,23782158
Bruton tyrosine kinase inhibitor ibrutinib (PCI-32765) has significant activity in patients with relapsed/refractory B-cell malignancies,23045577
Treatment of fludarabine-refractory chronic lymphocytic leukemia,19402170
Targeting BTK with ibrutinib in relapsed chronic lymphocytic leukemia,23782158
Modified magrath regimens for adults with Burkitt and Burkitt-like lymphomas: preserved efficacy with decreased toxicity,15160953
Adults and children with small non-cleaved-cell lymphoma have a similar excellent outcome when treated with the same chemotherapy regimen,8622041
An international evaluation of CODOX-M and CODOX-M alternating with IVAC in adult Burkitt's lymphoma: results of United Kingdom Lymphoma Group LY06 study,12181251
Topical carmustine (BCNU) in the treatment of mycosis fungoides,14686972
Brentuximab vedotin (SGN-35) in patients with relapsed or refractory systemic anaplastic large-cell lymphoma: results of a phase II study,22614995
Merkel cell carcinoma: prognosis and treatment of patients from a single institution,15800320
Merkel cell carcinoma clinical practice guidelines in oncology,19777698
Efficacy and safety of vismodegib in advanced basal-cell carcinoma,22670903
Nivolumab in previously untreated melanoma without BRAF mutation,25399552
Safety profile of nivolumab administered as 30-min infusion: analysis of data from CheckMate 153,29442139
Temozolomide for the treatment of brain metastases associated with metastatic melanoma: A phase II study,15169796
Nivolumab in previously untreated melanoma without BRAF mutation,25399552
Safety profile of nivolumab administered as 30-min infusion: analysis of data from CheckMate 153,29442139
Assessment of nivolumab benefit-risk profile of a 240-mg flat dose relative to a 3-mg/kg dosing regimen in patients with advanced tumors,28520840
Pembrolizumab versus ipilimumab in advanced melanoma,25891173
Anti-programmed-death-receptor-1 treatment with pembrolizumab in ipilimumab-refractory advanced melanoma: a randomised dose-comparison cohort of a phase 1 trial,25034862
Topical imiquimod treatment of a cutaneous melanoma metastasis,10954675
Topical imiquimod in the treatment of metastatic melanoma to skin,12622616
Treatment of stage IA cutaneous t-cell lymphoma with topical application of the immune response modifier imiquimod,12224972
Successful treatment of primary cutaneous follicle centre lymphoma with topical 5% imiquimod,17553050
Comparison of imiquimod 5% cream versus radiotherapy as treatment for eyelid basal cell carcinoma,21242584
Imiquimod 5% cream for the treatment of superficial basal cell carcinoma: results from a randomized vehicle-controlled phase III study in Europe,15888150
Successful treatment and management of large superficial basal cell carcinomas with topical imiquimod 5% cream: A case series and review,21781010
Ipilimumab plus dacarbazine for previously untreated metastatic melanoma,21639810
Management of Immune-related adverse events and kinetics of response with ipilimumab,22614989
Ipilimumab activity in advanced uveal melanoma,23211837
Managing immune-related adverse events to ipilimumab: a nurse’s guide,22459539
Management of immune-related adverse events and kinetics of response with ipilimumab,22614989
Ipilimumab plus darcarbazine for previously untreated metastatic melanoma,21639810
Ipilimumab-induced thrombocytopenia in patient with metastatic melanoma,21807763
Improved survival with Ipilimumab in patients with metastatic melanoma,20525992
Neutropenia in a patient treated with ipilimumab (anti-CTLA-4 antibody),19242368
Ipilimumab in pretreated patients with metastatic uveal melanoma: safety and clinical efficacy,21833591
Ipilimumab activity in advanced uveal melanoma,23211837
Managing immune-related adverse events to ipilimumab: a nurse’s guide,22459539
A randomized paired comparison of photodynamic therapy and topical 5-fluorouracil in the treatment of actinic keratoses,10459115
Topical photodynamic therapy in the treatment of actinic keratoses and Bowen’s disease in transplant recipients,14724445
Comparison of photodynamic therapy with cryotherapy in the treatment of Bowen’s disease,8977678
5-Aminolevulinic acid-based photodynamic therapy for the treatment of two patients with extramammary Paget's disease,15906538
Temozolomide and oral vp-16 for children and young adults with recurrent or treatment-induced malignant gliomas,16047359
Phase I study of temozolomide and escalating doses of oral etoposide for adults with recurrent malignant glioma,12673724
Marked inactivation of O6-alkylguanine-DNA alkyltransferase activity with protracted temozolomide schedules,12671695
Multicentre CRC phase II trial of temozolomide in recurrent or progressive high grade glioma,9332462
Efficacy of the new long-acting formulation of lanreotide (lanreotide Autogel) in the management of acromegaly,11788630
A critical analysis of clinically available somatostatin analog formulations for therapy of acromegaly,18477663
Long-term follow-up of conjunctival and corneal intraepithelial neoplasia treated with topical interferon alfa-2b,18187195
Mitomycin: clinical applications in ophthalmic practice,16526821
Carboplatin plus paclitaxel in unknown primary carcinoma: a phase II Hellenic Cooperative Oncology Group Study,10963638
Efficacy and safety of sunitinib in patients with advanced gastrointestinal stromal tumour after failure of imatinib: a randomised controlled trial,17046465
The pharmacological treatment of aggressive fibromatosis: a systematic review,12562642
Addition of ifosfamide and etoposide to standard chemotherapy for Ewing's sarcoma and primitive neuroectodermal tumor of bone,12594313
Addition of ifosfamide and etoposide to standard chemotherapy for Ewing's sarcoma and primitive neuroectodermal tumor of bone,12594313
Randomized phase II study of gemcitabine and docetaxel compared with gemcitabine alone in patients with metastatic soft tissue sarcomas: results of sarcoma alliance for research through collaboration study 002 [corrected],17602081
Update on gemcitabine and docetaxel combination therapy for primary and metastatic sarcomas,20520541
Results of randomised studies of the EORTC Soft Tissue and Bone Sarcoma Group (STBSG) with two different ifosfamide regimens in first- and second-line chemotherapy in advanced soft tissue sarcoma patients,12460784
Safety and efficacy of imatinib (STI571) in metastatic gastrointestinal stromal tumours: a phase I study,11705489
Effect of the tyrosine kinase inhibitor STI571 in a patient with a metastatic gastrointestinal stromal tumor,11287975
Cardiotoxicity of the cancer therapeutic agent imatinib mesylate,16862153
STI571: A paradigm of new agents for cancer therapeutics,11773186
Progression-free survival in gastrointestinal stromal tumours with high-dose Imatinib: randomised trial,15451219
Correlation of kinase genotype and clinical outcome in the North American Intergroup Phase III trial of imatinib mesylate for treatment of advanced gastrointestinal stromal tumor: CALGB 150105 Study by Cancer and Leukemia Group B and Southwest Oncology Group,18955451
NCCN Task Force report: update on the management of patients with gastrointestinal stromal tumors,20457867
2002 Update of recommendations for the use of chemotherapy and radiotherapy protectants: clinical practice guidelines of the American Society of Clinical Oncology,12065567
Efficacy and safety of regorafenib in patients with metastatic and/or unresectable GI stromal tumor after failure of imatinib and sunitinib: a multicenter phase II trial,22614970
Complete cytoreduction and HIPEC improves survival in desmoplastic small round cell tumor,24046124
Results of multimodal treatment for desmoplastic small round cell tumors,15868593
American Society of Clinical Oncology 2008 clinical practice guideline update: use of chemotherapy and radiation therapy protectants,19018081
Ifosfamide with mesna uroprotection and etoposide: an effective regimen in the treatment of recurrent sarcomas and other tumors of children and young adults,3114435
Dose-intensive chemotherapy in advanced adult soft tissue sarcoma,12113242
2002 Update of recommendations for the use of chemotherapy and radiotherapy protectants: clinical practice guidelines of the American Society of Clinical Oncology,12065567
Addition of ifosfamide and etoposide to standard chemotherapy for Ewing's sarcoma and primitive neuroectodermal tumor of bone,12594313
2002 Update of recommendations for the use of chemotherapy and radiotherapy protectants: clinical practice guidelines of the American Society of Clinical Oncology,12065567
Addition of ifosfamide and etoposide to standard chemotherapy for Ewing's sarcoma and primitive neuroectodermal tumor of bone,12594313
Adjuvant imatinib treatment improves recurrence-free survival in patients with high-risk gastrointestinal stromal tumours (GIST),17533389
Development and validation of a prognostic nomogram for recurrence-free survival after complete surgical resection of localised primary gastrointestinal stromal tumour: a retrospective analysis,19793678
Anaphylactic shock following intravenous administration of lignocaine,9311409
Systemic lidocaine for neuropathic pain relief,10863041
Parenteral lidocaine for severe intractable pain in six hospice patients continued at home,15859746
Should 5-hydroxytryptamine-3 receptor antagonists be administered beyond 24 hours after chemotherapy to prevent delayed emesis? Systematic re-evaluation of clinical evidence and drug cost implications,15718327
Proposal for classifying the acute emetogenicity of cancer chemotherapy,8996130
Prevention of chemotherapy- and radiotherapy-induced emesis: results of the 2004 Perugia International Antiemetic Consensus Conference,16314401
2016 MASCC and ESMO guideline update for the prevention of chemotherapy- and radiotherapy- induced nausea and vomiting and of nausea and vomiting in advanced cancer patients,27664248
Results of a 7-day aprepitant schedule for the prevention of nausea and vomiting in 5- day cisplatin-based germ cell tumor chemotherapy,23274926
Safety and efficacy of a triple antiemetic combination with the NK-1 antagonist aprepitant in highly and moserately emetogenic multiple-day chemotherapy,19135359
American Society of Clinical Oncology/American Society of Hematology clinical practice guideline update on the use of epoetin and darbepoetin in adult patients with cancer,20975064
Erythropoiesis-stimulating agents in the treatment of anaemia in cancer patients: ESMO clinical practice guidelines for use,20555090
Benefits and harms of erythropoiesis-stimulating agents for anemia related to cancer: a meta-analysis,19407261
Recombinant human erythropoietins and cancer patients: updated meta-analysis of 57 studies including 9353 patients,16705125
Maintaining normal hemoglobin levels with epoetin alfa in mainly nonanemic patients with metastatic breast cancer receiving first-line chemotherapy: a survival study,16087945
Erythropoiesis-stimulating agents in oncology: a study-level meta-analysis of survival and other safety outcomes,20051958
Venous thromboembolism and mortality associated with recombinant erythropoietin and darbepoetin administration for the treatment of cancer-associated anemia,18314434
Epoetin alfa in patients with advanced-stage Hodgkin’s lymphoma: results of the randomized placebo-controlled GHSG HD15EPO trial,20368566
Safety and efficacy of darbepoetin alpha in previously untreated extensive-stage small-cell lung cancer treated with platinum plus etoposide,18467726
The diagnosis and management of anaphylaxis: An updated practice parameter,15753926
Epinephrine: the drug of choice for anaphylaxis,23724601
Adrenaline for the treatment of anaphylaxis: cochrane systematic review,19178399
Adrenaline (epinephrine) for the treatment of anaphylaxis with and without shock,18843712
Acute management of cancer-related hypercalcemia,8740333
Hypercalcemia and bone resorption in malignancy,7634618
Hypercalcemia and electrolyte disturbances in malignancy,8811300
Acetylsalicylic acid and montelukast block mast cell mediator- related symptoms during rapid desensitization,19230468
Hypersensitivity reactions to oxaliplatin and the application of a desensitization protocol,15477639
Patterns of use of medical cannabis among Israeli cancer patients: a single institution experience,24937161
Effects of marijuana smoking on the lung,23802821
The 2016 World Health Organization Classification of Tumors of the Central Nervous System: a summary,27157931
Interleukin-2 and regulatory T cells in graft-versus-host disease,22129252
Stability issues of parenteral chemotherapy drugs,17621564
Low-intensity therapy in adults with Burkitt's lymphoma,24224624
Stability of fluorouracil administered through four portable infusion pumps,2816958
Methods to improve efficacy of intravesical mitomycin C: results of a randomized phase III trial,11309436
Stability of oxaliplatin in infusion bags containing 5% dextrose injection,17823107
Stability of fluorouracil administered through four portable infusion pumps,2816958
Methylene blue for the treatment and prophylaxis of ifosfamide-induced encephalopathy,14570094
Ifosfamide-related encephalopathy in elderly patients: report of five cases and review of the literature,17953463
Ifosfamide encephalopathy and methylene-blue: a case report,8879383
Methylene blue in the treatment and prevention of ifosfamide-induced encephalopathy: report of 12 cases and a review of the literature,10646879
Methylene blue for ifosfamide-associated encephalopathy,7700329
Prophylaxis and reversal of ifosfamide encephalopathy with methylene-blue,7510815
Local reactions to imiquimod in the treatment of basal cell carcinoma,23031368
Topical treatment of melanoma skin metastases with imiquimod: a review,25756475
Treatment of stage IA cutaneous T-cell lymphoma with topical application of the immune response modifier imiquimod,12224972
Successful treatment of primary cutaneous follicle centre lymphoma with topical 5% imiquimod,17553050
Topical imiquimod treatment of a cutaneous melanoma metastasis,10954675
Topical imiquimod in the treatment of metastatic melanoma to skin,12622616
Clinical pharmacokinetics of estramustine phosphate,6375076
Pharmacokinetics and pharmacodynamics of estramustine phosphate,9515186
Pharmacokinetics of dacarbazine (DTIC) and its metabolite 5-aminoimidazole-4- carboxamide (AIC) following different dose schedules,7172404
Micronucleus analysis in peripheral blood lymphocytes from melanoma patients treated with dacarbazine,9677451
Stability of dacarbazine in amber glass vials and polyvinyl chloride bags,12132562
Intrathecal dacarbazine treatment of leptomeningeal malignant melanoma,1635089
Topical bleomycin for the treatment of dysplastic oral leukoplakia,9708924
Intratumoral therapy with bleomycin for cystic craniopharyngiomas in children,11124639
A clinical review of bleomycin--a new antineoplastic agent,4122362
Bleomycin pulmonary toxicity: current status and future directions,1384147
Factors influencing postoperative morbidity and mortality in patients treated with bleomycin,77697
Risk factors of anesthesia and surgery in bleomycin-treated patients,6191044
Development of acute lung injury after the combination of intravenous bleomycin and exposure to hyperoxia in rats,2443992
Fatal bleomycin pulmonary toxicity in the west of Scotland 1991-95: a review of patients with germ cell tumours,9792151
Perioperative considerations for patients treated with bleomycin,1706974
Complications of retroperitoneal lymph node dissection,3381370
Bleomycin and subsequent anaesthesia: a retrospective study at Vancouver General Hospital,6160899
Vandetanib for the treatment of medullary thyroid carcinoma,24259657
Co-administration strategy to enhance brain accumulation of vandetanib by modulating P- glycoprotein (P-gp/Abcb1) and breast cancer resistance protein (Bcrp1/Abcg2) mediated efflux with m-TOR inhibitors,22633931
Therapeutic role of alemtuzumab (Campath-1H) in patients who have failed fludarabine: results of a large international study,11986207
Phase II trial of subcutaneous anti-CD52 monoclonal antibody alemtuzumab (Campath- 1H) as first-line treatment for patients with B-cell chronic lymphocytic leukemia (B-CLL),12130484
Pharmacokinetics of CAMPATH-1H: Assay development and validation,11792397
Blood concentrations of alemtuzumab and antiglobulin responses in patients with chronic lymphocytic leukemia following intravenous or subcutaneous routes of administration,15090452
High remission rate in T-cell prolymphocytic leukemia with CAMPATH-1H,11535503
Effect of brain irradiation on blood-CSF barrier permeability of chemotherapeutic agents,9167750
Determinants of the elimination of methotrexate and 7-hydroxy- methotrexate following high-dose infusional therapy to cancer patients,16842380
The clinical pharmacology of methotrexate: new applications of an old drug,342086
Neurologic complications of cancer chemotherapy,16769421
Carboxypeptidase-G2 rescue in a patient with high dose methotrexate- induced nephrotoxicity,19956493
High-dose methotrexate-induced nephrotoxicity in patients with osteosarcoma,15139068
Co-administration of proton pump inhibitors delays elimination of plasma methotrexate in high-dose methotrexate therapy,19076159
Severe intoxication with methotrexate possibly associated with concomitant use of proton pump inhibitors,20393020
Low-dose oral methotrexate and cyclophosphamide in metastatic breast cancer: antitumor activity and correlation with vascular endothelial growth factor levels,11863115
Oral metronomic cyclophosphamide with and without methotrexate as palliative treatment for patients with metastatic breast carcinoma,22287742
Prolonged clinical benefit with metronomic chemotherapy in patients with metastatic breast cancer,16940806
Metronomic low-dose oral cyclophosphamide and methotrexate plus or minus thalidomide in metastatic breast cancer: antitumor activity and biological effects,16322118
Treatment of primary CNS lymphoma with methotrexate and deferred radiotherapy: a report of NABTT 96-07,12637469
Bosutinib safety and management of toxicity in leukemia patients with resistance or intolerance to imatinib and other tyrosine kinase inhibitors,24345751
Bosutinib for the treatment of chronic myeloid leukemia,25736937
