,Publication Category,Publication Year,PMID,DOI,Authors,Title,Journal,Short Citation
482,Journal Article,2008,18248679,,Shadeo A; Chari R; Lonergan KM; Pusic A; Miller D; Ehlen T; Van Niekerk D; Matisic J; Richards-Kortum R; Follen M; Guillaud M; Lam WL; MacAulay C;,Up regulation in gene expression of chromatin remodelling factors in cervical intraepithelial neoplasia.,BMC Genomics,BMC Genomics. 2008 Feb 4;9:64.  10.1186/1471-2164-9-64.
483,Journal Article,2008,18250455,,"Karunakaran KP, Rey-Ladino J, Stoynov N, Berg K, Shen C, Jiang X, Gabel BR, Yu H, Foster LJ, Brunham RC.",Immunoproteomic discovery of novel T cell antigens from the obligate intracellular pathogen Chlamydia.,Journal of Immunology,J Immunol. 2008 Feb 15;180(4):2459-65.
484,Journal Article,2008,18256239,,Yin T; Difazio SP; Gunter LE; Zhang X; Sewell MM; Woolbright SA; Allan GJ; Kelleher CT; Douglas CJ; Wang M; Tuskan GA,Genome structure and emerging evidence of an incipient sex chromosome in Populus.,,Genome Res. 2008 Mar;18(3):422-30.  10.1101/gr.7076308. Epub 2008 Feb 6.
485,Journal Article,2008,18266247,,Wang JC; Coe BP; Lomax B; MacLeod PM; Parslow MI; Schein JE; Lam WL; Eydoux P;,Inverted duplication with terminal deletion of 5p and no cat-like cry.,American Journal of Medical Genetics Part A,Am J Med Genet A. 2008 May 1;146A(9):1173-9.  10.1002/ajmg.a.32246.
486,Journal Article,2008,18270166,,Karsan A;,Notch and integrin affinity: a sticky situation.,Science Signaling,Sci Signal. 2008 Jan 15;1(2):pe2.  10.1126/stke.12pe2.
487,Journal Article,2008,18271954,,"Aerts S, Haeussler M, van Vooren S, Griffith OL, Hulpiau P, Jones SJ, Montgomery SB, Bergman CM; Open Regulatory Annotation Consortium.",Text-mining assisted regulatory annotation.,Genome Biology,Genome Biol. 2008;9(2):R31.  10.1186/gb-2008-9-2-r31.
488,Journal Article,2008,18282602,,Young ND; Cooper GA; Nowak BF; Koop BF; Morrison RN;,Coordinated down-regulation of the antigen processing machinery in the gills of amoebic gill disease-affected Atlantic salmon (Salmo salar L.).,Molecular Immunology,Mol Immunol. 2008 May;45(9):2581-97.  10.1016/j.molimm.2007.12.023. Epub 2008 Feb 20.
489,Journal Article,2008,18285502,,Morin RD; O'Connor MD; Griffith M; Kuchenbauer F; Delaney A; Prabhu AL; Zhao Y; McDonald H; Zeng T; Hirst M; Eaves CJ; Marra MA;,Application of massively parallel sequencing to microRNA profiling and discovery in human embryonic stem cells.,Genome Research,Genome Res. 2008 Apr;18(4):610-21.  10.1101/gr.7179508. Epub 2008 Feb 19.
490,Journal Article,2008,18292811,,"Dorfman R, Sandford A, Taylor C, Huang B, Frangolias D, Wang Y, Sang R, Pereira L, Sun L, Berthiaume Y, Tsui LC, Pare PD, Durie P, Corey M, Zielenski J.",Complex two-gene modulation of lung disease severity in children with cystic fibrosis.,Journal of Clinical Investigation,J Clin Invest. 2008 Mar;118(3):1040-9.  10.1172/JCI33754.
491,Journal Article,2009,18296086,,Whale TA; Griebel PJ;,A sheep in wolf's clothes: can neutrophils direct the immune response?,Veterinary Journal,Vet J. 2009 May;180(2):169-77.  10.1016/j.tvjl.2007.12.030. Epub 2008 Mar 4.
492,Journal Article,2008,18299732,,Bashash M; Shah A; Hislop G; Brooks-Wilson A; Le N; Bajdik C;,"Incidence and survival for gastric and esophageal cancer diagnosed in British Columbia, 1990 to 1999.",Canadian Journal of Gastroenterology,Can J Gastroenterol. 2008 Feb;22(2):143-8.
493,Journal Article,2008,18325390,,Grassl GA; Valdez Y; Bergstrom KS; Vallance BA; Finlay BB,Chronic enteric salmonella infection in mice leads to severe and persistent intestinal fibrosis.,,Gastroenterology. 2008 Mar;134(3):768-80.  10.1053/j.gastro.2007.12.043. Epub 2008 Jan 9.
494,Journal Article,2008,18326668,,LeBlanc JC; Goncalves ER; Mohn WW;,Global response to desiccation stress in the soil actinomycete Rhodococcus jostii RHA1.,Applied and Environmental Microbiology,Appl Environ Microbiol. 2008 May;74(9):2627-36.  10.1128/AEM.02711-07. Epub 2008 Mar 7.
495,Journal Article,2008,18330978,,Cherkasov A; Ban F; Santos-Filho O; Thorsteinson N; Fallahi M; Hammond GL;,An updated steroid benchmark set and its application in the discovery of novel nanomolar ligands of sex hormone-binding globulin.,Journal of Medicinal Chemistry,J Med Chem. 2008 Apr 10;51(7):2047-56.  10.1021/jm7011485. Epub 2008 Mar 11.
496,Journal Article,2008,18357481,,Mesoudi A; Danielson P;,"Ethics, evolution and culture.",Theory in Biosciences,Theory Biosci. 2008 Aug;127(3):229-40.  10.1007/s12064-008-0027-y. Epub 2008 Mar 21.
497,Journal Article,2008,18370850,,Vucic EA; Brown CJ; Lam WL;,Epigenetics of cancer progression.,Pharmacogenomics,Pharmacogenomics. 2008 Feb;9(2):215-34.  10.2217/14622416.9.2.215.
498,Journal Article,2008,18375036,,"Argiropoulos B, Palmqvist L, Yung E, Kuchenbauer F, Heuser M, Sly LM, Wan A, Krystal G, Humphries RK.",Linkage of Meis1 leukemogenic activity to multiple downstream effectors including Trib2 and Ccl3.,Experimental Hematology,Exp Hematol. 2008 Jul;36(7):845-59.  10.1016/j.exphem.2008.02.011
499,Journal Article,2008,18386095,,von Schalburg KR; Leong J; Cooper GA; Robb A; Beetz-Sargent MR; Lieph R; Holt RA; Moore R; Ewart KV; Driedzic WR; ten Hallers BF; Zhu B; de Jong PJ; Davidson WS; Koop BF;,Rainbow smelt (Osmerus mordax) genomic library and EST resources.,Marine Biotechnology,Mar Biotechnol (NY). 2008 Sep-Oct;10(5):487-91.  10.1007/s10126-008-9089-6. Epub 2008 Apr 2.
500,Journal Article,2008,18390545,,"Janssen T, Husson SJ, Lindemans M, Mertens I, Rademakers S, Ver Donck K, Geysen J, Jansen G, Schoofs L",Functional characterization of three G protein-coupled receptors for pigment dispersing factors in Caenorhabditis elegans.,Journal of Biological Chemistry,J Biol Chem. 2008 May 30;283(22):22.  10.1074/jbc.M709060200
501,Journal Article,2008,18391978,,Lockwood WW; Chari R; Coe BP; Girard L; Macaulay C; Lam S; Gazdar AF; Minna JD; Lam WL;,DNA amplification is a ubiquitous mechanism of oncogene activation in lung and other cancers.,Oncogene,Oncogene. 2008 Jul 31;27(33):4615-24.  10.1038/onc.2008.98. Epub 2008 Apr 7.
502,Journal Article,2008,18397382,,"Valdez Y, Diehl GE, Vallance BA, Grassl GA, Guttman JA, Brown NF, Rosenberger CM, Littman DR, Gros P, Finlay BB.",Nramp1 expression by dendritic cells modulates inflammatory responses during Salmonella Typhimurium infection.,Cellular Microbiology,Cell Microbiol. 2008 Aug;10(8):1646-61.  10.1111/j.1462-5822.2008.01155.x
503,Journal Article,2008,18398879,,Rosenzweig D; Smith D; Myler PJ; Olafson RW; Zilberstein D;,Post-translational modification of cellular proteins during Leishmania donovani differentiation.,Proteomics,Proteomics. 2008 May;8(9):1843-50.  10.1002/pmic.200701043.
504,Journal Article,2008,18400103,,Ehlting J; Chowrira SG; Mattheus N; Aeschliman DS; Arimura G; Bohlmann J.,"Comparative transcriptome analysis of Arabidopsis thaliana infested by diamond back moth (Plutella xylostella) larvae reveals signatures of stress response, secondary metabolism, and signalling.",BMC Genomics,BMC Genomics. 2008 Apr 9;9:154.  10.1186/1471-2164-9-154.
505,Journal Article,2008,18417533,,Moerman DG; Barstead RJ;,Towards a mutation in every gene in Caenorhabditis elegans.,Briefings in Functional Genomics and Proteomics,Brief Funct Genomic Proteomic. 2008 May;7(3):195-204.  10.1093/bfgp/eln016. Epub 2008 Apr 16.
506,Journal Article,2008,18421552,,Schlosser J; Olsson N; Weis M; Reid K; Peng F; Lund S; Bowen P;,Cellular expansion and gene expression in the developing grape (Vitis vinifera L.).,Protoplasma,Protoplasma. 2008;232(3-4):255-65.  10.1007/s00709-008-0280-9.
507,Journal Article,2008,18426884,,"Bishop JL, Sly LM, Krystal G, Finlay BB.",The inositol phosphatase SHIP controls Salmonella enterica serovar Typhimurium infection in vivo.,Infection and Immunity,Infect Immun. 2008 Jul;76(7):2913-22.  10.1128/IAI.01596-07.
508,Journal Article,2008,18442133,,Fjell CD; Jenssen H; Fries P; Aich P; Griebel P; Hilpert K; Hancock RE; Cherkasov A;,Identification of novel host defense peptides and the absence of alpha-defensins in the bovine genome.,Proteins-Structure Function and Bioinformatics,Proteins. 2008 Nov 1;73(2):420-30.  10.1002/prot.22059.
509,Journal Article,2008,18443621,,Morozova O; Marra MA;,From cytogenetics to next-generation sequencing technologies: advances in the detection of genome rearrangements in tumors.,Biochemistry and Cell Biology-Biochimie Et Biologie Cellulaire,Biochem Cell Biol. 2008 Apr;86(2):81-91.  10.1139/O08-003.
510,Journal Article,2008,18446295,,Wishart DS;,Identifying putative drug targets and potential drug leads: starting points for virtual screening and docking.,Methods in Molecular Biology,Methods Mol Biol. 2008;443:333-51.  10.1007/978-1-59745-177-2_17.
511,Journal Article,2008,18456819,,"Finn RM, Browne K, Hodgson KC, Ausió J","sNASP, a histone H1-specific eukaryotic chaperone dimer that facilitates chromatin assembly.",Biophysical Journal,Biophys J. 2008 Aug;95(3):3.  10.1529/biophysj.108.130021
512,Journal Article,2008,18476870,,Bohlmann J; Keeling CI,Terpenoid biomaterials,Plant Journal,Plant J. 2008 May;54(4):656-69.  10.1111/j.1365-313X.2008.03449.x.
513,Journal Article,2008,18482444,,Moen T; Hayes B; Baranski M; Berg PR; Kjoglum S; Koop BF; Davidson WS; Omholt SW; Lien S,A linkage map of the Atlantic salmon (Salmo salar) based on EST-derived SNP markers.,,BMC Genomics. 2008 May 15;9:223.  10.1186/1471-2164-9-223.
514,Journal Article,2008,18483289,,Coe BP; Macaulay C; Lam WL; Ylstra B; Carvalho B; Meijer GA,Comment re: a comparison of DNA copy number profiling platforms.,Cancer Research,Cancer Res. 2008 May 15;68(10):4010; author reply 4010.  10.1158/0008-5472.CAN-07-6439.
515,Journal Article,2008,18490781,,Blohmke CJ; Victor RE; Hirschfeld AF; Elias IM; Hancock DG; Lane CR; Davidson AG; Wilcox PG; Smith KD; Overhage J; Hancock RE; Turvey SE;,Innate immunity mediated by TLR5 as a novel antiinflammatory target for cystic fibrosis lung disease.,Journal of Immunology,J Immunol. 2008 Jun 1;180(11):7764-73.
516,Journal Article,2008,18492270,,Chi B; deLeeuw RJ; Coe BP; Ng RT; MacAulay C; Lam WL;,MD-SeeGH: a platform for integrative analysis of multi-dimensional genomic data.,BMC Bioinformatics,BMC Bioinformatics. 2008 May 20;9:243.  10.1186/1471-2105-9-243.
517,Journal Article,2008,18497317,,"Niessen K, Karsan A.",Notch signaling in cardiac development.,Circulation Research,Circ Res. 2008 May 23;102(10):1169-81.  10.1161/CIRCRESAHA.108.174318.
518,Journal Article,2008,18505012,,Mos L; Cooper GA; Serben K; Cameron M; Koop BF;,"Effects of diesel on survival, growth, and gene expression in rainbow trout (Oncorhynchus mykiss) fry.",Environmental Science & Technology,Environ Sci Technol. 2008 Apr 1;42(7):2656-62.
519,Journal Article,2008,18515350,,Wishart DS; Arndt D; Berjanskii M; Tang P; Zhou J; Lin G;,CS23D: a web server for rapid protein structure generation using NMR chemical shifts and sequence data.,Nucleic Acids Research,Nucleic Acids Res. 2008 Jul 1;36(Web Server issue):W496-502.  10.1093/nar/gkn305. Epub 2008 May 30.
520,Journal Article,2008,18519653,,Holt RA; Jones SJ;,The new paradigm of flow cell sequencing.,Genome Research,Genome Res. 2008 Jun;18(6):839-46.  10.1101/gr.073262.107.
521,Journal Article,2008,18537714,,Kindrachuk J; Potter J; Wilson HL; Griebel P; Babiuk LA; Napper S;,Activation and regulation of toll-like receptor 9: CpGs and beyond.,Mini-Reviews in Medicinal Chemistry,Mini Rev Med Chem. 2008 Jun;8(6):590-600.
522,Journal Article,2008,18541478,,Rogers LD; Kristensen AR; Boyle EC; Robinson DP; Ly RT; Finlay BB; Foster LJ;,Identification of cognate host targets and specific ubiquitylation sites on the Salmonella SPI-1 effector SopB/SigD.,Journal of Proteomics,J Proteomics. 2008 Apr 30;71(1):97-108.  10.1016/j.jprot.2008.01.011. Epub 2008 Feb 5.
523,Journal Article,2008,18554416,,Hoffman BG; Zavaglia B; Witzsche J; Ruiz de Algara T; Beach M; Hoodless PA; Jones SJ; Marra MA; Helgason CD;,Identification of transcripts with enriched expression in the developing and adult pancreas.,Genome Biology,Genome Biol. 2008;9(6):R99.  10.1186/gb-2008-9-6-r99. Epub 2008 Jun 14.
524,Journal Article,2008,18556795,,"Gooderham WJ, Bains M, McPhee JB, Wiegand I, Hancock RE.","Induction by cationic antimicrobial peptides and involvement in intrinsic polymyxin and antimicrobial peptide resistance, biofilm formation, and swarming motility of PsrA in Pseudomonas aeruginosa.",Journal of Bacteriology,J Bacteriol. 2008 Aug;190(16):5624-34.  10.1128/JB.00594-08.
525,Journal Article,2008,18559357,,Pugh TJ; Delaney AD; Farnoud N; Flibotte S; Griffith M; Li HI; Qian H; Farinha P; Gascoyne RD; Marra MA;,Impact of whole genome amplification on analysis of copy number variants.,Nucleic Acids Research,Nucleic Acids Res. 2008 Aug;36(13):e80.  10.1093/nar/gkn378. Epub 2008 Jun 17
526,Journal Article,2008,18574633,,Yazawa R; Yasuike M; Leong J; von Schalburg KR; Cooper GA; Beetz-Sargent M; Robb A; Davidson WS; Jones SR; Koop BF;,"EST and mitochondrial DNA sequences support a distinct Pacific form of salmon louse, Lepeophtheirus salmonis.",Marine Biotechnology,Mar Biotechnol (NY). 2008 Nov-Dec;10(6):741-9.  10.1007/s10126-008-9112-y. Epub 2008 Jun 24.
527,Journal Article,2008,18578882,,Hsing M; Cherkasov A;,Indel PDB: a database of structural insertions and deletions derived from sequence alignments of closely related proteins.,BMC Bioinformatics,BMC Bioinformatics. 2008 Jun 25;9:293.  10.1186/1471-2105-9-293.
528,Journal Article,2008,18591624,,Johnson NA; Gascoyne RD;,Gene expression signatures in follicular lymphoma: are they ready for the clinic?,Haematologica,Haematologica. 2008 Jul;93(7):982-7.  10.3324/haematol.13326.
529,Journal Article,2008,18593563,,Raouf A; Zhao Y; To K; Stingl J; Delaney A; Barbara M; Iscove N; Jones S; McKinney S; Emerman J; Aparicio S; Marra M; Eaves C;,Transcriptome analysis of the normal human mammary cell commitment and differentiation process.,a - other journal,Cell Stem Cell. 2008 Jul 3;3(1):109-18.  10.1016/j.stem.2008.05.018.
530,Journal Article,2008,18599518,,Fejes AP; Robertson G; Bilenky M; Varhol R; Bainbridge M; Jones SJ;,FindPeaks 3.1: a tool for identifying areas of enrichment from massively parallel short-read sequencing technology.,Bioinformatics,Bioinformatics. 2008 Aug 1;24(15):1729-30.  10.1093/bioinformatics/btn305. Epub 2008 Jul 3.
531,Journal Article,2008,18611170,,Morin R; Bainbridge M; Fejes A; Hirst M; Krzywinski M; Pugh T; McDonald H; Varhol R; Jones S; Marra M;,Profiling the HeLa S3 transcriptome using randomly primed cDNA and massively parallel short-read sequencing.,Biotechniques,Biotechniques. 2008 Jul;45(1):81-94.  10.2144/000112900.
532,Journal Article,2008,18611272,,Shin H; Hirst M; Bainbridge MN; Magrini V; Mardis E; Moerman DG; Marra MA; Baillie DL; Jones SJ;,Transcriptome analysis for Caenorhabditis elegans based on novel expressed sequence tags.,a - other journal,BMC Biol. 2008 Jul 8;6:30.  10.1186/1741-7007-6-30.
533,Journal Article,2008,18611952,,Wederell ED; Bilenky M; Cullum R; Thiessen N; Dagpinar M; Delaney A; Varhol R; Zhao Y; Zeng T; Bernier B; Ingham M; Hirst M; Robertson G; Marra MA; Jones S; Hoodless PA;,Global analysis of in vivo Foxa2-binding sites in mouse adult liver using massively parallel sequencing.,Nucleic Acids Research,Nucleic Acids Res. 2008 Aug;36(14):4549-64.  10.1093/nar/gkn382. Epub 2008 Jul 8.
534,Journal Article,2008,18612701,,Wiseman SM; Melck A; Masoudi H; Ghaidi F; Goldstein L; Gown A; Jones SJ; Griffith OL;,Molecular phenotyping of thyroid tumors identifies a marker panel for differentiated thyroid cancer diagnosis.,Annals of Surgical Oncology,Ann Surg Oncol. 2008 Oct;15(10):2811-26.  10.1245/s10434-008-0034-8. Epub 2008 Jul 9.
535,Journal Article,2008,18625066,,D'Souza CA; Chopra V; Varhol R; Xie YY; Bohacec S; Zhao Y; Lee LL; Bilenky M; Portales-Casamar E; He A; Wasserman WW; Goldowitz D; Marra MA; Holt RA; Simpson EM; Jones SJ;,Identification of a set of genes showing regionally enriched expression in the mouse brain.,a - other journal,BMC Neurosci. 2008 Jul 14;9:66.  10.1186/1471-2202-9-66.
536,Journal Article,2008,18625732,,"Cosseau C, Devine DA, Dullaghan E, Gardy JL, Chikatamarla A, Gellatly S, Yu LL, Pistolic J, Falsafi R, Tagg J, Hancock RE.",The commensal Streptococcus salivarius K12 downregulates the innate immune responses of human epithelial cells and promotes host-microbe homeostasis.,Infection and Immunity,Infect Immun. 2008 Sep;76(9):4163-75.  10.1128/IAI.00188-08.
537,Journal Article,2008,18627494,,Souza Cde A; Barbazuk B; Ralph SG; Bohlmann J; Hamberger B; Douglas CJ.,"Genome-wide analysis of a land plant-specific acyl:coenzyme A synthetase (ACS) gene family in Arabidopsis, poplar, rice and Physcomitrella.",New Phytologist,New Phytol. 2008;179(4):987-1003.  10.1111/j.1469-8137.2008.02534.x.
538,Journal Article,2008,18628487,,O'Shea D; O'Riain C; Taylor C; Waters R; Carlotti E; Macdougall F; Gribben J; Rosenwald A; Ott G; Rimsza LM; Smeland EB; Johnson N; Campo E; Greiner TC; Chan WC; Gascoyne RD; Wright G; Staudt LM; Lister TA; Fitzgibbon J;,The presence of TP53 mutation at diagnosis of follicular lymphoma identifies a high-risk group of patients with shortened time to disease progression and poorer overall survival.,Blood,Blood. 2008 Oct 15;112(8):3126-9.  10.1182/blood-2008-05-154013. Epub 2008 Jul 15.
539,Journal Article,2005,18629190,,Hodgson PD; Aich P; Manuja A; Hokamp K; Roche FM; Brinkman FS; Potter A; Babiuk LA; Griebel PJ;,Effect of stress on viral-bacterial synergy in bovine respiratory disease: novel mechanisms to regulate inflammation.,Comparative and Functional Genomics,Comp Funct Genomics. 2005;6(4):244-50.  10.1002/cfg.474.
540,Journal Article,2008,18632575,,Aviel-Ronen S; Coe BP; Lau SK; da Cunha Santos G; Zhu CQ; Strumpf D; Jurisica I; Lam WL; Tsao MS;,Genomic markers for malignant progression in pulmonary adenocarcinoma with bronchioloalveolar features.,Proceedings of The National Academy of Sciences of The United States of America,Proc Natl Acad Sci U S A. 2008 Jul 22;105(29):10155-60.  10.1073/pnas.0709618105. Epub 2008 Jul 15.
541,Journal Article,2008,18642093,,"Lund ST, Peng FY, Nayar T, Reid KE, Schlosser J.",Gene expression analyses in individual grape (Vitis vinifera L.) berries during ripening initiation reveal that pigmentation intensity is a valid indicator of developmental staging within the cluster.,Plant Molecular Biology,Plant Mol Biol. 2008 Oct;68(3):301-15.  10.1007/s11103-008-9371-z
542,Journal Article,2009,18646050,,Yano A; von Schalburg K; Cooper G; Koop BF; Yoshizaki G;,Identification of a molecular marker for type A spermatogonia by microarray analysis using gonadal cells from pvasa-GFP transgenic rainbow trout (Oncorhynchus mykiss).,Molecular Reproduction and Development,Mol Reprod Dev. 2009 Mar;76(3):246-54.  10.1002/mrd.20947.
543,Journal Article,2008,18655049,,Ouvry-Patat SA; Torres MP; Quek HH; Gelfand CA; O'Mullan P; Nissum M; Schroeder GK; Han J; Elliott M; Dryhurst D; Ausio J; Wolfenden R; Borchers CH;,Free-flow electrophoresis for top-down proteomics by Fourier transform ion cyclotron resonance mass spectrometry.,Proteomics,Proteomics. 2008 Jul;8(14):2798-808.  10.1002/pmic.200800079.
544,Journal Article,2008,18663143,,Niessen K; Fu Y; Chang L; Hoodless PA; McFadden D; Karsan A;,Slug is a direct Notch target required for initiation of cardiac cushion cellularization.,Journal of Cell Biology,J Cell Biol. 2008 Jul 28;182(2):315-25.  10.1083/jcb.200710067.
545,Journal Article,2008,18663149,,Starczynowski DT; Vercauteren S; Telenius A; Sung S; Tohyama K; Brooks-Wilson A; Spinelli JJ; Eaves CJ; Eaves AC; Horsman DE; Lam WL; Karsan A;,High-resolution whole genome tiling path array CGH analysis of CD34+ cells from patients with low-risk myelodysplastic syndromes reveals cryptic copy number alterations and predicts overall and leukemia-free survival.,Blood,Blood. 2008 Oct 15;112(8):3412-24.  10.1182/blood-2007-11-122028. Epub 2008 Jul 28.
546,Journal Article,2008,18674555,,Bradford BU; O'Connell TM; Han J; Kosyk O; Shymonyak S; Ross PK; Winnike J; Kono H; Rusyn I;,Metabolomic profiling of a modified alcohol liquid diet model for liver injury in the mouse uncovers new markers of disease.,Toxicology and Applied Pharmacology,Toxicol Appl Pharmacol. 2008 Oct 15;232(2):236-43.  10.1016/j.taap.2008.06.022. Epub 2008 Jul 12.
547,Journal Article,2008,18680120,,Coe BP; Chari R; Lockwood WW; Lam WL;,Evolving strategies for global gene expression analysis of cancer.,Journal of Cellular Physiology,J Cell Physiol. 2008 Dec;217(3):590-7.  10.1002/jcp.21554.
548,Journal Article,2008,18680607,,"Langille MG, Hsiao WW, Brinkman FS.",Evaluation of genomic island predictors using a comparative genomics approach.,BMC Bioinformatics,BMC Bioinformatics. 2008 Aug 5;9:329.  10.1186/1471-2105-9-329.
549,Journal Article,2008,18686958,,Pan J; Han J; Borchers CH; Konermann L;,Electron capture dissociation of electrosprayed protein ions for spatially resolved hydrogen exchange measurements.,Journal of The American Chemical Society,J Am Chem Soc. 2008 Sep 3;130(35):11574-5.  10.1021/ja802871c. Epub 2008 Aug 8
550,Journal Article,2009,18688820,,Wasan KM; Thornton SJ; Bell I; Goulding RE; Gretes M; Gray AP; Hancock RE; Campbell B;,The global access initiative at the University of British Columbia (UBC): Availability of UBC discoveries and technologies to the developing world.,Journal of Pharmaceutical Sciences,J Pharm Sci. 2009 Mar;98(3):791-4.  10.1002/jps.21495.
551,Journal Article,2008,18695045,,"Boag PR, Atalay A, Robida S, Reinke V, Blackwell TK",Protection of specific maternal messenger RNAs by the P body protein CGH-1 (Dhh1/RCK) during Caenorhabditis elegans oogenesis.,Journal of Cell Biology,J Cell Biol. 2008 Aug 11;182(3):3.  10.1083/jcb.200801183
552,Journal Article,2008,18701636,,Warren RL; Freeman JD; Levesque RC; Smailus DE; Flibotte S; Holt RA;,Transcription of foreign DNA in Escherichia coli.,Genome Research,Genome Res. 2008 Nov;18(11):1798-805.  10.1101/gr.080358.108. Epub 2008 Aug 13
553,Journal Article,2008,18703132,,Morozova O; Marra MA;,Applications of next-generation sequencing technologies in functional genomics.,Genomics,Genomics. 2008 Nov;92(5):255-64.  10.1016/j.ygeno.2008.07.001. Epub 2008 Aug 24
554,Journal Article,2009,18703704,,Cheung KJ; Shah SP; Steidl C; Johnson N; Relander T; Telenius A; Lai B; Murphy KP; Lam W; Al-Tourah AJ; Connors JM; Ng RT; Gascoyne RD; Horsman DE;,Genome-wide profiling of follicular lymphoma by array comparative genomic hybridization reveals prognostically significant DNA copy number imbalances.,Blood,Blood. 2009 Jan 1;113(1):137-48.  10.1182/blood-2008-02-140616. Epub 2008 Aug 14
555,Journal Article,2008,18708289,,Danell RM; Ouvry-Patat SA; Scarlett CO; Speir JP; Borchers CH;,Data Self-Recalibration and Mixture Mass Fingerprint Searching (DASER-MMF) to enhance protein identification within complex mixtures.,Journal of The American Chemical Society,J Am Soc Mass Spectrom. 2008 Dec;19(12):1914-25.  10.1016/j.jasms.2008.07.017. Epub 2008 Jul 20.
556,Journal Article,2008,18710517,,"Song XM, Connor W, Hokamp K, Babiuk LA, Potter AA.",Streptococcus pneumoniae early response genes to human lung epithelial cells.,BMC Research Notes,BMC Res Notes. 2008 Aug 12;1:64.  10.1186/1756-0500-1-64.
557,Journal Article,2009,18719619,,Madadi P; Ross CJ; Hayden MR; Carleton BC; Gaedigk A; Leeder JS; Koren G;,Pharmacogenetics of neonatal opioid toxicity following maternal use of codeine during breastfeeding: a case-control study.,Nature Clinical Pharmacology and Therapeutics,Clin Pharmacol Ther. 2009 Jan;85(1):31-5.  10.1038/clpt.2008.157. Epub 2008 Aug 20.
558,Journal Article,2008,18720523,,Johnson NA; Al-Tourah A; Brown CJ; Connors JM; Gascoyne RD; Horsman DE;,Prognostic significance of secondary cytogenetic alterations in follicular lymphomas.,Genes Chromosomes & Cancer,Genes Chromosomes Cancer. 2008 Dec;47(12):1038-48.  10.1002/gcc.20606.
559,Journal Article,2008,18755037,,Quinn NL; Levenkova N; Chow W; Bouffard P; Boroevich KA; Knight JR; Jarvie TP; Lubieniecki KP; Desany BA; Koop BF; Harkins TT; Davidson WS;,Assessing the feasibility of GS FLX Pyrosequencing for sequencing the Atlantic salmon genome.,BMC Genomics,BMC Genomics. 2008 Aug 28;9:404.  10.1186/1471-2164-9-404.
560,Journal Article,2008,18766178,,Lynn DJ; Winsor GL; Chan C; Richard N; Laird MR; Barsky A; Gardy JL; Roche FM; Chan TH; Shah N; Lo R; Naseer M; Que J; Yau M; Acab M; Tulpan D; Whiteside MD; Chikatamarla A; Mah B; Munzner T; Hokamp K; Hancock RE; Brinkman FS,InnateDB: facilitating systems-level analyses of the mammalian innate immune response.,,Mol Syst Biol. 2008;4:218.  10.1038/msb.2008.55. Epub 2008 Sep 2.
561,Journal Article,2008,18778483,,Hoffman BG; Zavaglia B; Beach M; Helgason CD;,Expression of Groucho/TLE proteins during pancreas development.,BMC Developmental Biology,BMC Dev Biol. 2008 Sep 8;8:81.  10.1186/1471-213X-8-81.
562,Journal Article,2008,18781855,,Madadi P; Koren G;,Pharmacogenetic insights into codeine analgesia: implications to pediatric codeine use.,Pharmacogenomics,Pharmacogenomics. 2008 Sep;9(9):1267-84.  10.2217/14622416.9.9.1267.
563,Journal Article,2009,18785179,,Cox ME; Gleave ME; Zakikhani M; Bell RH; Piura E; Vickers E; Cunningham M; Larsson O; Fazli L; Pollak M;,Insulin receptor expression by human prostate cancers.,Prostate,Prostate. 2009 Jan 1;69(1):33-40.  10.1002/pros.20852.
564,Journal Article,2008,18787082,,Robertson AG; Bilenky M; Tam A; Zhao Y; Zeng T; Thiessen N; Cezard T; Fejes AP; Wederell ED; Cullum R; Euskirchen G; Krzywinski M; Birol I; Snyder M; Hoodless PA; Hirst M; Marra MA; Jones SJ;,Genome-wide relationship between histone H3 lysine 4 mono- and tri-methylation and transcription factor binding.,Genome Research,Genome Res. 2008 Dec;18(12):1906-17.  10.1101/gr.078519.108. Epub 2008 Sep 11
565,Journal Article,2008,18787709,,Morozova O; Morozov V; Hoffman BG; Helgason CD; Marra MA;,A seriation approach for visualization-driven discovery of co-expression patterns in Serial Analysis of Gene Expression (SAGE) data.,PLOS One,PLoS One. 2008 Sep 12;3(9):e3205.  10.1371/journal.pone.0003205.
566,Journal Article,2008,18796161,,Hsing M; Byler KG; Cherkasov A;,The use of Gene Ontology terms for predicting highly-connected 'hub' nodes in protein-protein interaction networks.,BMC Systems Biology,BMC Syst Biol. 2008 Sep 16;2:80.  10.1186/1752-0509-2-80.
567,Journal Article,2008,18805909,,Bomal C; Bedon F; Caron S; Mansfield SD; Levasseur C; Cooke JE; Blais S; Tremblay L; Morency MJ; Pavy N; Grima-Pettenati J; Seguin A; Mackay J;,Involvement of Pinus taeda MYB1 and MYB8 in phenylpropanoid metabolism and secondary cell wall biogenesis: a comparative in planta analysis.,Journal of Experimental Botany,J Exp Bot. 2008;59(14):3925-39.  10.1093/jxb/ern234. Epub 2008 Sep 19.
